,Company,Date,Employees
0,1,2011-02-06,0
1,2,2011-02-06,0
2,3,2011-02-06,0
3,4,2011-02-06,0
4,5,2011-02-06,0
5,6,2011-02-06,0
6,7,2011-02-06,0
7,8,2011-02-06,0
8,9,2011-02-06,0
9,10,2011-02-06,0
10,11,2011-02-06,0
11,12,2011-02-06,0
0,1,2011-02-07,32
1,2,2011-02-07,19
2,3,2011-02-07,5
3,4,2011-02-07,6
4,5,2011-02-07,4
5,6,2011-02-07,4
6,7,2011-02-07,5
7,8,2011-02-07,1
8,9,2011-02-07,3
9,10,2011-02-07,3
10,11,2011-02-07,0
11,12,2011-02-07,0
0,1,2011-02-08,3
1,2,2011-02-08,2
2,3,2011-02-08,1
3,4,2011-02-08,0
4,5,2011-02-08,1
5,6,2011-02-08,0
6,7,2011-02-08,0
7,8,2011-02-08,0
8,9,2011-02-08,1
9,10,2011-02-08,0
10,11,2011-02-08,0
11,12,2011-02-08,0
0,1,2011-02-09,2
1,2,2011-02-09,1
2,3,2011-02-09,0
3,4,2011-02-09,0
4,5,2011-02-09,0
5,6,2011-02-09,0
6,7,2011-02-09,0
7,8,2011-02-09,0
8,9,2011-02-09,0
9,10,2011-02-09,0
10,11,2011-02-09,0
11,12,2011-02-09,0
0,1,2011-02-10,0
1,2,2011-02-10,0
2,3,2011-02-10,0
3,4,2011-02-10,0
4,5,2011-02-10,2
5,6,2011-02-10,0
6,7,2011-02-10,0
7,8,2011-02-10,0
8,9,2011-02-10,0
9,10,2011-02-10,0
10,11,2011-02-10,0
11,12,2011-02-10,0
0,1,2011-02-11,0
1,2,2011-02-11,0
2,3,2011-02-11,0
3,4,2011-02-11,0
4,5,2011-02-11,0
5,6,2011-02-11,0
6,7,2011-02-11,0
7,8,2011-02-11,0
8,9,2011-02-11,0
9,10,2011-02-11,0
10,11,2011-02-11,0
11,12,2011-02-11,0
0,1,2011-02-12,0
1,2,2011-02-12,0
2,3,2011-02-12,0
3,4,2011-02-12,0
4,5,2011-02-12,0
5,6,2011-02-12,0
6,7,2011-02-12,0
7,8,2011-02-12,0
8,9,2011-02-12,0
9,10,2011-02-12,0
10,11,2011-02-12,0
11,12,2011-02-12,0
0,1,2011-02-13,0
1,2,2011-02-13,0
2,3,2011-02-13,0
3,4,2011-02-13,0
4,5,2011-02-13,0
5,6,2011-02-13,0
6,7,2011-02-13,0
7,8,2011-02-13,0
8,9,2011-02-13,0
9,10,2011-02-13,0
10,11,2011-02-13,0
11,12,2011-02-13,0
0,1,2011-02-14,25
1,2,2011-02-14,14
2,3,2011-02-14,11
3,4,2011-02-14,3
4,5,2011-02-14,15
5,6,2011-02-14,6
6,7,2011-02-14,2
7,8,2011-02-14,8
8,9,2011-02-14,2
9,10,2011-02-14,3
10,11,2011-02-14,0
11,12,2011-02-14,0
0,1,2011-02-15,1
1,2,2011-02-15,2
2,3,2011-02-15,1
3,4,2011-02-15,0
4,5,2011-02-15,0
5,6,2011-02-15,1
6,7,2011-02-15,2
7,8,2011-02-15,1
8,9,2011-02-15,0
9,10,2011-02-15,0
10,11,2011-02-15,0
11,12,2011-02-15,0
0,1,2011-02-16,2
1,2,2011-02-16,0
2,3,2011-02-16,0
3,4,2011-02-16,0
4,5,2011-02-16,0
5,6,2011-02-16,0
6,7,2011-02-16,3
7,8,2011-02-16,0
8,9,2011-02-16,0
9,10,2011-02-16,0
10,11,2011-02-16,0
11,12,2011-02-16,0
0,1,2011-02-17,0
1,2,2011-02-17,0
2,3,2011-02-17,0
3,4,2011-02-17,0
4,5,2011-02-17,0
5,6,2011-02-17,0
6,7,2011-02-17,0
7,8,2011-02-17,0
8,9,2011-02-17,0
9,10,2011-02-17,0
10,11,2011-02-17,0
11,12,2011-02-17,0
0,1,2011-02-18,0
1,2,2011-02-18,0
2,3,2011-02-18,0
3,4,2011-02-18,0
4,5,2011-02-18,0
5,6,2011-02-18,0
6,7,2011-02-18,0
7,8,2011-02-18,0
8,9,2011-02-18,0
9,10,2011-02-18,0
10,11,2011-02-18,0
11,12,2011-02-18,0
0,1,2011-02-19,0
1,2,2011-02-19,0
2,3,2011-02-19,0
3,4,2011-02-19,0
4,5,2011-02-19,0
5,6,2011-02-19,0
6,7,2011-02-19,0
7,8,2011-02-19,0
8,9,2011-02-19,0
9,10,2011-02-19,0
10,11,2011-02-19,0
11,12,2011-02-19,0
0,1,2011-02-20,0
1,2,2011-02-20,0
2,3,2011-02-20,0
3,4,2011-02-20,0
4,5,2011-02-20,0
5,6,2011-02-20,0
6,7,2011-02-20,0
7,8,2011-02-20,0
8,9,2011-02-20,0
9,10,2011-02-20,0
10,11,2011-02-20,0
11,12,2011-02-20,0
0,1,2011-02-21,0
1,2,2011-02-21,0
2,3,2011-02-21,0
3,4,2011-02-21,0
4,5,2011-02-21,0
5,6,2011-02-21,0
6,7,2011-02-21,0
7,8,2011-02-21,0
8,9,2011-02-21,0
9,10,2011-02-21,0
10,11,2011-02-21,0
11,12,2011-02-21,0
0,1,2011-02-22,24
1,2,2011-02-22,13
2,3,2011-02-22,10
3,4,2011-02-22,6
4,5,2011-02-22,5
5,6,2011-02-22,3
6,7,2011-02-22,1
7,8,2011-02-22,8
8,9,2011-02-22,5
9,10,2011-02-22,2
10,11,2011-02-22,1
11,12,2011-02-22,0
0,1,2011-02-23,3
1,2,2011-02-23,0
2,3,2011-02-23,1
3,4,2011-02-23,0
4,5,2011-02-23,0
5,6,2011-02-23,0
6,7,2011-02-23,0
7,8,2011-02-23,0
8,9,2011-02-23,0
9,10,2011-02-23,0
10,11,2011-02-23,0
11,12,2011-02-23,0
0,1,2011-02-24,0
1,2,2011-02-24,1
2,3,2011-02-24,2
3,4,2011-02-24,0
4,5,2011-02-24,0
5,6,2011-02-24,0
6,7,2011-02-24,0
7,8,2011-02-24,0
8,9,2011-02-24,0
9,10,2011-02-24,0
10,11,2011-02-24,0
11,12,2011-02-24,0
0,1,2011-02-25,0
1,2,2011-02-25,0
2,3,2011-02-25,0
3,4,2011-02-25,0
4,5,2011-02-25,0
5,6,2011-02-25,0
6,7,2011-02-25,0
7,8,2011-02-25,0
8,9,2011-02-25,0
9,10,2011-02-25,0
10,11,2011-02-25,0
11,12,2011-02-25,0
0,1,2011-02-26,0
1,2,2011-02-26,0
2,3,2011-02-26,0
3,4,2011-02-26,0
4,5,2011-02-26,0
5,6,2011-02-26,0
6,7,2011-02-26,0
7,8,2011-02-26,0
8,9,2011-02-26,0
9,10,2011-02-26,0
10,11,2011-02-26,0
11,12,2011-02-26,0
0,1,2011-02-27,0
1,2,2011-02-27,0
2,3,2011-02-27,0
3,4,2011-02-27,0
4,5,2011-02-27,0
5,6,2011-02-27,0
6,7,2011-02-27,0
7,8,2011-02-27,0
8,9,2011-02-27,0
9,10,2011-02-27,0
10,11,2011-02-27,0
11,12,2011-02-27,0
0,1,2011-02-28,19
1,2,2011-02-28,9
2,3,2011-02-28,6
3,4,2011-02-28,3
4,5,2011-02-28,2
5,6,2011-02-28,6
6,7,2011-02-28,3
7,8,2011-02-28,5
8,9,2011-02-28,3
9,10,2011-02-28,3
10,11,2011-02-28,0
11,12,2011-02-28,0
0,1,2011-03-01,0
1,2,2011-03-01,2
2,3,2011-03-01,1
3,4,2011-03-01,0
4,5,2011-03-01,2
5,6,2011-03-01,2
6,7,2011-03-01,0
7,8,2011-03-01,0
8,9,2011-03-01,1
9,10,2011-03-01,0
10,11,2011-03-01,0
11,12,2011-03-01,0
0,1,2011-03-02,3
1,2,2011-03-02,2
2,3,2011-03-02,0
3,4,2011-03-02,1
4,5,2011-03-02,0
5,6,2011-03-02,1
6,7,2011-03-02,0
7,8,2011-03-02,1
8,9,2011-03-02,1
9,10,2011-03-02,0
10,11,2011-03-02,0
11,12,2011-03-02,0
0,1,2011-03-03,1
1,2,2011-03-03,0
2,3,2011-03-03,0
3,4,2011-03-03,0
4,5,2011-03-03,0
5,6,2011-03-03,0
6,7,2011-03-03,0
7,8,2011-03-03,0
8,9,2011-03-03,0
9,10,2011-03-03,0
10,11,2011-03-03,0
11,12,2011-03-03,0
0,1,2011-03-04,0
1,2,2011-03-04,0
2,3,2011-03-04,0
3,4,2011-03-04,0
4,5,2011-03-04,0
5,6,2011-03-04,0
6,7,2011-03-04,0
7,8,2011-03-04,0
8,9,2011-03-04,0
9,10,2011-03-04,0
10,11,2011-03-04,0
11,12,2011-03-04,0
0,1,2011-03-05,0
1,2,2011-03-05,0
2,3,2011-03-05,0
3,4,2011-03-05,0
4,5,2011-03-05,0
5,6,2011-03-05,0
6,7,2011-03-05,0
7,8,2011-03-05,0
8,9,2011-03-05,0
9,10,2011-03-05,0
10,11,2011-03-05,0
11,12,2011-03-05,0
0,1,2011-03-06,0
1,2,2011-03-06,0
2,3,2011-03-06,0
3,4,2011-03-06,0
4,5,2011-03-06,0
5,6,2011-03-06,0
6,7,2011-03-06,0
7,8,2011-03-06,0
8,9,2011-03-06,0
9,10,2011-03-06,0
10,11,2011-03-06,0
11,12,2011-03-06,0
0,1,2011-03-07,28
1,2,2011-03-07,16
2,3,2011-03-07,9
3,4,2011-03-07,3
4,5,2011-03-07,10
5,6,2011-03-07,3
6,7,2011-03-07,3
7,8,2011-03-07,2
8,9,2011-03-07,1
9,10,2011-03-07,2
10,11,2011-03-07,0
11,12,2011-03-07,0
0,1,2011-03-08,0
1,2,2011-03-08,1
2,3,2011-03-08,1
3,4,2011-03-08,0
4,5,2011-03-08,0
5,6,2011-03-08,0
6,7,2011-03-08,0
7,8,2011-03-08,0
8,9,2011-03-08,0
9,10,2011-03-08,0
10,11,2011-03-08,0
11,12,2011-03-08,0
0,1,2011-03-09,1
1,2,2011-03-09,3
2,3,2011-03-09,1
3,4,2011-03-09,1
4,5,2011-03-09,0
5,6,2011-03-09,1
6,7,2011-03-09,0
7,8,2011-03-09,1
8,9,2011-03-09,0
9,10,2011-03-09,0
10,11,2011-03-09,0
11,12,2011-03-09,0
0,1,2011-03-10,1
1,2,2011-03-10,0
2,3,2011-03-10,0
3,4,2011-03-10,0
4,5,2011-03-10,1
5,6,2011-03-10,0
6,7,2011-03-10,0
7,8,2011-03-10,0
8,9,2011-03-10,0
9,10,2011-03-10,0
10,11,2011-03-10,0
11,12,2011-03-10,0
0,1,2011-03-11,0
1,2,2011-03-11,0
2,3,2011-03-11,0
3,4,2011-03-11,0
4,5,2011-03-11,0
5,6,2011-03-11,0
6,7,2011-03-11,0
7,8,2011-03-11,0
8,9,2011-03-11,0
9,10,2011-03-11,0
10,11,2011-03-11,0
11,12,2011-03-11,0
0,1,2011-03-12,0
1,2,2011-03-12,0
2,3,2011-03-12,0
3,4,2011-03-12,0
4,5,2011-03-12,0
5,6,2011-03-12,0
6,7,2011-03-12,0
7,8,2011-03-12,0
8,9,2011-03-12,0
9,10,2011-03-12,0
10,11,2011-03-12,0
11,12,2011-03-12,0
0,1,2011-03-13,0
1,2,2011-03-13,0
2,3,2011-03-13,0
3,4,2011-03-13,0
4,5,2011-03-13,0
5,6,2011-03-13,0
6,7,2011-03-13,0
7,8,2011-03-13,0
8,9,2011-03-13,0
9,10,2011-03-13,0
10,11,2011-03-13,0
11,12,2011-03-13,0
0,1,2011-03-14,19
1,2,2011-03-14,13
2,3,2011-03-14,14
3,4,2011-03-14,5
4,5,2011-03-14,10
5,6,2011-03-14,8
6,7,2011-03-14,0
7,8,2011-03-14,6
8,9,2011-03-14,3
9,10,2011-03-14,3
10,11,2011-03-14,0
11,12,2011-03-14,1
0,1,2011-03-15,3
1,2,2011-03-15,4
2,3,2011-03-15,1
3,4,2011-03-15,1
4,5,2011-03-15,0
5,6,2011-03-15,1
6,7,2011-03-15,0
7,8,2011-03-15,0
8,9,2011-03-15,0
9,10,2011-03-15,0
10,11,2011-03-15,0
11,12,2011-03-15,0
0,1,2011-03-16,2
1,2,2011-03-16,0
2,3,2011-03-16,2
3,4,2011-03-16,1
4,5,2011-03-16,1
5,6,2011-03-16,0
6,7,2011-03-16,0
7,8,2011-03-16,0
8,9,2011-03-16,0
9,10,2011-03-16,0
10,11,2011-03-16,0
11,12,2011-03-16,0
0,1,2011-03-17,1
1,2,2011-03-17,0
2,3,2011-03-17,0
3,4,2011-03-17,0
4,5,2011-03-17,0
5,6,2011-03-17,0
6,7,2011-03-17,0
7,8,2011-03-17,0
8,9,2011-03-17,0
9,10,2011-03-17,0
10,11,2011-03-17,0
11,12,2011-03-17,0
0,1,2011-03-18,0
1,2,2011-03-18,0
2,3,2011-03-18,0
3,4,2011-03-18,0
4,5,2011-03-18,0
5,6,2011-03-18,0
6,7,2011-03-18,0
7,8,2011-03-18,0
8,9,2011-03-18,0
9,10,2011-03-18,0
10,11,2011-03-18,0
11,12,2011-03-18,0
0,1,2011-03-19,0
1,2,2011-03-19,0
2,3,2011-03-19,0
3,4,2011-03-19,0
4,5,2011-03-19,0
5,6,2011-03-19,0
6,7,2011-03-19,0
7,8,2011-03-19,0
8,9,2011-03-19,0
9,10,2011-03-19,0
10,11,2011-03-19,0
11,12,2011-03-19,0
0,1,2011-03-20,0
1,2,2011-03-20,0
2,3,2011-03-20,0
3,4,2011-03-20,0
4,5,2011-03-20,0
5,6,2011-03-20,0
6,7,2011-03-20,0
7,8,2011-03-20,0
8,9,2011-03-20,0
9,10,2011-03-20,0
10,11,2011-03-20,0
11,12,2011-03-20,0
0,1,2011-03-21,31
1,2,2011-03-21,13
2,3,2011-03-21,11
3,4,2011-03-21,6
4,5,2011-03-21,4
5,6,2011-03-21,4
6,7,2011-03-21,2
7,8,2011-03-21,2
8,9,2011-03-21,5
9,10,2011-03-21,3
10,11,2011-03-21,0
11,12,2011-03-21,0
0,1,2011-03-22,2
1,2,2011-03-22,1
2,3,2011-03-22,0
3,4,2011-03-22,1
4,5,2011-03-22,1
5,6,2011-03-22,1
6,7,2011-03-22,1
7,8,2011-03-22,0
8,9,2011-03-22,1
9,10,2011-03-22,0
10,11,2011-03-22,0
11,12,2011-03-22,0
0,1,2011-03-23,2
1,2,2011-03-23,0
2,3,2011-03-23,0
3,4,2011-03-23,0
4,5,2011-03-23,0
5,6,2011-03-23,1
6,7,2011-03-23,0
7,8,2011-03-23,1
8,9,2011-03-23,1
9,10,2011-03-23,0
10,11,2011-03-23,0
11,12,2011-03-23,0
0,1,2011-03-24,0
1,2,2011-03-24,0
2,3,2011-03-24,1
3,4,2011-03-24,0
4,5,2011-03-24,0
5,6,2011-03-24,0
6,7,2011-03-24,0
7,8,2011-03-24,0
8,9,2011-03-24,0
9,10,2011-03-24,0
10,11,2011-03-24,0
11,12,2011-03-24,0
0,1,2011-03-25,0
1,2,2011-03-25,0
2,3,2011-03-25,0
3,4,2011-03-25,0
4,5,2011-03-25,0
5,6,2011-03-25,0
6,7,2011-03-25,0
7,8,2011-03-25,0
8,9,2011-03-25,0
9,10,2011-03-25,0
10,11,2011-03-25,0
11,12,2011-03-25,0
0,1,2011-03-26,0
1,2,2011-03-26,0
2,3,2011-03-26,0
3,4,2011-03-26,0
4,5,2011-03-26,0
5,6,2011-03-26,0
6,7,2011-03-26,0
7,8,2011-03-26,0
8,9,2011-03-26,0
9,10,2011-03-26,0
10,11,2011-03-26,0
11,12,2011-03-26,0
0,1,2011-03-27,0
1,2,2011-03-27,0
2,3,2011-03-27,0
3,4,2011-03-27,0
4,5,2011-03-27,0
5,6,2011-03-27,0
6,7,2011-03-27,0
7,8,2011-03-27,0
8,9,2011-03-27,0
9,10,2011-03-27,0
10,11,2011-03-27,0
11,12,2011-03-27,0
0,1,2011-03-28,29
1,2,2011-03-28,7
2,3,2011-03-28,10
3,4,2011-03-28,6
4,5,2011-03-28,2
5,6,2011-03-28,1
6,7,2011-03-28,4
7,8,2011-03-28,2
8,9,2011-03-28,4
9,10,2011-03-28,3
10,11,2011-03-28,0
11,12,2011-03-28,0
0,1,2011-03-29,4
1,2,2011-03-29,3
2,3,2011-03-29,1
3,4,2011-03-29,2
4,5,2011-03-29,0
5,6,2011-03-29,1
6,7,2011-03-29,1
7,8,2011-03-29,0
8,9,2011-03-29,0
9,10,2011-03-29,1
10,11,2011-03-29,0
11,12,2011-03-29,0
0,1,2011-03-30,0
1,2,2011-03-30,2
2,3,2011-03-30,1
3,4,2011-03-30,0
4,5,2011-03-30,1
5,6,2011-03-30,0
6,7,2011-03-30,0
7,8,2011-03-30,0
8,9,2011-03-30,0
9,10,2011-03-30,0
10,11,2011-03-30,0
11,12,2011-03-30,0
0,1,2011-03-31,0
1,2,2011-03-31,0
2,3,2011-03-31,0
3,4,2011-03-31,0
4,5,2011-03-31,0
5,6,2011-03-31,0
6,7,2011-03-31,0
7,8,2011-03-31,0
8,9,2011-03-31,0
9,10,2011-03-31,0
10,11,2011-03-31,0
11,12,2011-03-31,0
0,1,2011-04-01,0
1,2,2011-04-01,0
2,3,2011-04-01,0
3,4,2011-04-01,0
4,5,2011-04-01,0
5,6,2011-04-01,0
6,7,2011-04-01,0
7,8,2011-04-01,1
8,9,2011-04-01,0
9,10,2011-04-01,0
10,11,2011-04-01,0
11,12,2011-04-01,0
0,1,2011-04-02,0
1,2,2011-04-02,0
2,3,2011-04-02,0
3,4,2011-04-02,0
4,5,2011-04-02,0
5,6,2011-04-02,0
6,7,2011-04-02,0
7,8,2011-04-02,0
8,9,2011-04-02,0
9,10,2011-04-02,0
10,11,2011-04-02,0
11,12,2011-04-02,0
0,1,2011-04-03,0
1,2,2011-04-03,0
2,3,2011-04-03,0
3,4,2011-04-03,0
4,5,2011-04-03,0
5,6,2011-04-03,0
6,7,2011-04-03,0
7,8,2011-04-03,0
8,9,2011-04-03,0
9,10,2011-04-03,0
10,11,2011-04-03,0
11,12,2011-04-03,0
0,1,2011-04-04,28
1,2,2011-04-04,10
2,3,2011-04-04,5
3,4,2011-04-04,4
4,5,2011-04-04,4
5,6,2011-04-04,6
6,7,2011-04-04,5
7,8,2011-04-04,2
8,9,2011-04-04,7
9,10,2011-04-04,4
10,11,2011-04-04,0
11,12,2011-04-04,0
0,1,2011-04-05,4
1,2,2011-04-05,1
2,3,2011-04-05,2
3,4,2011-04-05,1
4,5,2011-04-05,1
5,6,2011-04-05,0
6,7,2011-04-05,1
7,8,2011-04-05,0
8,9,2011-04-05,0
9,10,2011-04-05,1
10,11,2011-04-05,0
11,12,2011-04-05,0
0,1,2011-04-06,3
1,2,2011-04-06,0
2,3,2011-04-06,0
3,4,2011-04-06,0
4,5,2011-04-06,1
5,6,2011-04-06,0
6,7,2011-04-06,1
7,8,2011-04-06,0
8,9,2011-04-06,0
9,10,2011-04-06,0
10,11,2011-04-06,0
11,12,2011-04-06,0
0,1,2011-04-07,0
1,2,2011-04-07,0
2,3,2011-04-07,0
3,4,2011-04-07,0
4,5,2011-04-07,0
5,6,2011-04-07,0
6,7,2011-04-07,0
7,8,2011-04-07,0
8,9,2011-04-07,0
9,10,2011-04-07,1
10,11,2011-04-07,0
11,12,2011-04-07,0
0,1,2011-04-08,0
1,2,2011-04-08,0
2,3,2011-04-08,0
3,4,2011-04-08,0
4,5,2011-04-08,0
5,6,2011-04-08,0
6,7,2011-04-08,0
7,8,2011-04-08,0
8,9,2011-04-08,0
9,10,2011-04-08,0
10,11,2011-04-08,0
11,12,2011-04-08,0
0,1,2011-04-09,0
1,2,2011-04-09,0
2,3,2011-04-09,0
3,4,2011-04-09,0
4,5,2011-04-09,0
5,6,2011-04-09,0
6,7,2011-04-09,0
7,8,2011-04-09,0
8,9,2011-04-09,0
9,10,2011-04-09,0
10,11,2011-04-09,0
11,12,2011-04-09,0
0,1,2011-04-10,0
1,2,2011-04-10,0
2,3,2011-04-10,0
3,4,2011-04-10,0
4,5,2011-04-10,0
5,6,2011-04-10,0
6,7,2011-04-10,0
7,8,2011-04-10,0
8,9,2011-04-10,0
9,10,2011-04-10,0
10,11,2011-04-10,0
11,12,2011-04-10,0
0,1,2011-04-11,32
1,2,2011-04-11,12
2,3,2011-04-11,10
3,4,2011-04-11,12
4,5,2011-04-11,8
5,6,2011-04-11,0
6,7,2011-04-11,6
7,8,2011-04-11,6
8,9,2011-04-11,3
9,10,2011-04-11,2
10,11,2011-04-11,0
11,12,2011-04-11,0
0,1,2011-04-12,1
1,2,2011-04-12,0
2,3,2011-04-12,2
3,4,2011-04-12,1
4,5,2011-04-12,1
5,6,2011-04-12,0
6,7,2011-04-12,0
7,8,2011-04-12,0
8,9,2011-04-12,0
9,10,2011-04-12,1
10,11,2011-04-12,0
11,12,2011-04-12,0
0,1,2011-04-13,0
1,2,2011-04-13,1
2,3,2011-04-13,0
3,4,2011-04-13,0
4,5,2011-04-13,1
5,6,2011-04-13,0
6,7,2011-04-13,1
7,8,2011-04-13,1
8,9,2011-04-13,0
9,10,2011-04-13,1
10,11,2011-04-13,0
11,12,2011-04-13,0
0,1,2011-04-14,2
1,2,2011-04-14,0
2,3,2011-04-14,0
3,4,2011-04-14,0
4,5,2011-04-14,0
5,6,2011-04-14,0
6,7,2011-04-14,0
7,8,2011-04-14,0
8,9,2011-04-14,0
9,10,2011-04-14,0
10,11,2011-04-14,0
11,12,2011-04-14,0
0,1,2011-04-15,0
1,2,2011-04-15,0
2,3,2011-04-15,0
3,4,2011-04-15,0
4,5,2011-04-15,0
5,6,2011-04-15,0
6,7,2011-04-15,0
7,8,2011-04-15,0
8,9,2011-04-15,0
9,10,2011-04-15,0
10,11,2011-04-15,0
11,12,2011-04-15,0
0,1,2011-04-16,0
1,2,2011-04-16,0
2,3,2011-04-16,0
3,4,2011-04-16,0
4,5,2011-04-16,0
5,6,2011-04-16,0
6,7,2011-04-16,0
7,8,2011-04-16,0
8,9,2011-04-16,0
9,10,2011-04-16,0
10,11,2011-04-16,0
11,12,2011-04-16,0
0,1,2011-04-17,0
1,2,2011-04-17,0
2,3,2011-04-17,0
3,4,2011-04-17,0
4,5,2011-04-17,0
5,6,2011-04-17,0
6,7,2011-04-17,0
7,8,2011-04-17,0
8,9,2011-04-17,0
9,10,2011-04-17,0
10,11,2011-04-17,0
11,12,2011-04-17,0
0,1,2011-04-18,27
1,2,2011-04-18,9
2,3,2011-04-18,8
3,4,2011-04-18,8
4,5,2011-04-18,2
5,6,2011-04-18,5
6,7,2011-04-18,3
7,8,2011-04-18,5
8,9,2011-04-18,3
9,10,2011-04-18,2
10,11,2011-04-18,0
11,12,2011-04-18,0
0,1,2011-04-19,3
1,2,2011-04-19,1
2,3,2011-04-19,2
3,4,2011-04-19,0
4,5,2011-04-19,0
5,6,2011-04-19,0
6,7,2011-04-19,0
7,8,2011-04-19,0
8,9,2011-04-19,0
9,10,2011-04-19,0
10,11,2011-04-19,0
11,12,2011-04-19,0
0,1,2011-04-20,0
1,2,2011-04-20,0
2,3,2011-04-20,1
3,4,2011-04-20,0
4,5,2011-04-20,1
5,6,2011-04-20,0
6,7,2011-04-20,1
7,8,2011-04-20,0
8,9,2011-04-20,0
9,10,2011-04-20,0
10,11,2011-04-20,0
11,12,2011-04-20,0
0,1,2011-04-21,1
1,2,2011-04-21,1
2,3,2011-04-21,1
3,4,2011-04-21,0
4,5,2011-04-21,0
5,6,2011-04-21,1
6,7,2011-04-21,0
